As of Date,Beneficiary Code,Beneficiary Name,Trustee Fund Number,Trustee Fund Name,Grant Fund Number,Grant Fund Name,Program Code,Program Name,Fiscal Year,Grant Commitments USD,Disbursements USD,Grant Agreement Date,Status
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF054782,TFLIB--CDD/COMMUNITY EMPOWERMENT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2007,$0.00,$3392272.35,03/01/2005,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF054782,TFLIB--CDD/COMMUNITY EMPOWERMENT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2008,$0.00,$935847.51,03/01/2005,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF054782,TFLIB--CDD/COMMUNITY EMPOWERMENT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2009,$0.00,$210003.68,03/01/2005,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF055668,GEF MSP-LIBERIA: BIODIVERSITY CONSERVATION IN THE REPUBLIC OF LIBERIA'S SAPO NATIONAL PARK,GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2008,$0.00,$242050.00,09/23/2005,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF055668,GEF MSP-LIBERIA: BIODIVERSITY CONSERVATION IN THE REPUBLIC OF LIBERIA'S SAPO NATIONAL PARK,GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2009,$0.00,$240000.00,09/23/2005,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF055668,GEF MSP-LIBERIA: BIODIVERSITY CONSERVATION IN THE REPUBLIC OF LIBERIA'S SAPO NATIONAL PARK,GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2010,$0.00,$128651.00,09/23/2005,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF055668,GEF MSP-LIBERIA: BIODIVERSITY CONSERVATION IN THE REPUBLIC OF LIBERIA'S SAPO NATIONAL PARK,GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2011,$0.00,$60000.00,09/23/2005,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF056720,LIBERIA SUPPORT TO LRDC AND COMMUNICATION PROGRAM,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2007,$600000.00,$600000.00,07/30/2006,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057072,LIBERIA INFRASTRUCTURE REHABILITATION PROJECT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2007,$8500000.00,$1785641.98,02/18/2011,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057072,LIBERIA INFRASTRUCTURE REHABILITATION PROJECT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2008,$0.00,$6571643.32,02/18/2011,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057072,LIBERIA INFRASTRUCTURE REHABILITATION PROJECT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2009,$0.00,$142000.00,02/18/2011,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057072,LIBERIA INFRASTRUCTURE REHABILITATION PROJECT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2010,$0.00,$-6883.78,02/18/2011,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057072,LIBERIA INFRASTRUCTURE REHABILITATION PROJECT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2011,$-43.48,$7555.00,02/18/2011,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057090,DEVELOPMENT FORESTRY SECTOR MANAGEMENT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2007,$2000000.00,$711420.00,10/02/2006,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057090,DEVELOPMENT FORESTRY SECTOR MANAGEMENT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2008,$0.00,$574193.93,10/02/2006,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF057090,DEVELOPMENT FORESTRY SECTOR MANAGEMENT,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2011,$0.00,$714386.07,10/02/2006,ACTN
09/08/2011,LR,Liberia,TF070515,Multi Donor Trust Fund for the Avian and Human Influenza Facility (AHI Facility),TF057665,LIBERIA: AVIAN INFLUENZA PREPAREDNESS - RAPID ASSESSMENT,AHI,AVIAN AND HUMAN INFLUENZA TRUST FUNDS,2007,$94300.00,$49290.86,12/19/2006,ACTN
09/08/2011,LR,Liberia,TF070515,Multi Donor Trust Fund for the Avian and Human Influenza Facility (AHI Facility),TF057665,LIBERIA: AVIAN INFLUENZA PREPAREDNESS - RAPID ASSESSMENT,AHI,AVIAN AND HUMAN INFLUENZA TRUST FUNDS,2008,$0.00,$39838.80,12/19/2006,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF057740,SUPPORT FOR MOF RESOURCE MANAGEMENT UNIT,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2007,$2500000.00,$0.00,05/28/2010,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF057740,SUPPORT FOR MOF RESOURCE MANAGEMENT UNIT,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2008,$0.00,$1555433.00,05/28/2010,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF057740,SUPPORT FOR MOF RESOURCE MANAGEMENT UNIT,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2010,$-644567.00,$300000.00,05/28/2010,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF091041,LIBERIA - EMERGENCY SENIOR EXECUTIVE SERVICE,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2008,$2300000.00,$300000.00,10/12/2007,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF091041,LIBERIA - EMERGENCY SENIOR EXECUTIVE SERVICE,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2009,$0.00,$525321.28,10/12/2007,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF091041,LIBERIA - EMERGENCY SENIOR EXECUTIVE SERVICE,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2010,$0.00,$678210.06,10/12/2007,ACTN
09/08/2011,LR,Liberia,TF054003,Trust Fund for Liberia,TF091041,LIBERIA - EMERGENCY SENIOR EXECUTIVE SERVICE,AFCW1,"AFR COUNTRY DEPARTMENT, WEST 1",2011,$0.00,$699796.08,10/12/2007,ACTN
09/08/2011,LR,Liberia,TF054904,Italian Trust Fund for Children and Youth in Africa - CHYAO Africa,TF091284,CHYAO AFRICA -- SRH RIGHTS PROJECT IN LIBERIA/UNPFA,ICHYAO,ITALIAN FUND FOR CHILDERN & YOUTH IN WES,2008,$478000.00,$0.00,03/18/2011,ACTN
09/08/2011,LR,Liberia,TF054904,Italian Trust Fund for Children and Youth in Africa - CHYAO Africa,TF091284,CHYAO AFRICA -- SRH RIGHTS PROJECT IN LIBERIA/UNPFA,ICHYAO,ITALIAN FUND FOR CHILDERN & YOUTH IN WES,2009,$0.00,$150000.00,03/18/2011,ACTN
09/08/2011,LR,Liberia,TF054904,Italian Trust Fund for Children and Youth in Africa - CHYAO Africa,TF091284,CHYAO AFRICA -- SRH RIGHTS PROJECT IN LIBERIA/UNPFA,ICHYAO,ITALIAN FUND FOR CHILDERN & YOUTH IN WES,2010,$0.00,$131680.85,03/18/2011,ACTN
09/08/2011,LR,Liberia,TF054904,Italian Trust Fund for Children and Youth in Africa - CHYAO Africa,TF091284,CHYAO AFRICA -- SRH RIGHTS PROJECT IN LIBERIA/UNPFA,ICHYAO,ITALIAN FUND FOR CHILDERN & YOUTH IN WES,2011,$-95068.03,$101251.12,03/18/2011,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091296,SUPPORT TO POVERTY REDUCTION STRATEGY PREPARATION,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2008,$722675.00,$307564.91,03/04/2011,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091296,SUPPORT TO POVERTY REDUCTION STRATEGY PREPARATION,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2009,$0.00,$229595.98,03/04/2011,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091296,SUPPORT TO POVERTY REDUCTION STRATEGY PREPARATION,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2010,$0.00,$185514.11,03/04/2011,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091296,SUPPORT TO POVERTY REDUCTION STRATEGY PREPARATION,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2011,$-37901.26,$-37901.26,03/04/2011,ACTN
09/08/2011,LR,Liberia,TF053509,"Multi Donor Trust Fund for the Extractive Industries Transparency Initiative (""EITI"") Implementation Support",TF091608,LIBERIA - SUPPORT TO THE EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE,EITI,EXTRACTIVE INDUSTRIES TRANSPARENCY INITI,2008,$400000.00,$100000.00,12/01/2009,ACTN
09/08/2011,LR,Liberia,TF053509,"Multi Donor Trust Fund for the Extractive Industries Transparency Initiative (""EITI"") Implementation Support",TF091608,LIBERIA - SUPPORT TO THE EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE,EITI,EXTRACTIVE INDUSTRIES TRANSPARENCY INITI,2009,$0.00,$300000.00,12/01/2009,ACTN
09/08/2011,LR,Liberia,TF053509,"Multi Donor Trust Fund for the Extractive Industries Transparency Initiative (""EITI"") Implementation Support",TF091608,LIBERIA - SUPPORT TO THE EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE,EITI,EXTRACTIVE INDUSTRIES TRANSPARENCY INITI,2010,$-905.55,$-905.55,12/01/2009,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091831,CAPACITY BUILDING FOR JUDICIAL SERVICES,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2008,$750000.00,$51625.35,03/26/2008,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091831,CAPACITY BUILDING FOR JUDICIAL SERVICES,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2009,$45000.00,$141376.98,03/26/2008,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091831,CAPACITY BUILDING FOR JUDICIAL SERVICES,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2010,$0.00,$462655.17,03/26/2008,ACTN
09/08/2011,LR,Liberia,TF053301,The Multi Donor Low Income Countries under Stress (LICUS) Implementation Trust Fund,TF091831,CAPACITY BUILDING FOR JUDICIAL SERVICES,LICUS,LOW INCOME COUNTRIES UNDER STRESS,2011,$0.00,$137467.36,03/26/2008,ACTN
09/08/2011,LR,Liberia,TF071033,Debt Reduction Facility for IDA-only Countries to the Republic of Liberia for the Preparation of a Commercial Debt Reduction Operati,TF091968,LIBERIA DEBT PREPARATION,DRF,COMMERCIAL DEBT REDUCTION FACILITY,2008,$1300000.00,$0.00,07/07/2011,LCLS
09/08/2011,LR,Liberia,TF071033,Debt Reduction Facility for IDA-only Countries to the Republic of Liberia for the Preparation of a Commercial Debt Reduction Operati,TF091968,LIBERIA DEBT PREPARATION,DRF,COMMERCIAL DEBT REDUCTION FACILITY,2009,$0.00,$1250000.00,07/07/2011,LCLS
09/08/2011,LR,Liberia,TF071033,Debt Reduction Facility for IDA-only Countries to the Republic of Liberia for the Preparation of a Commercial Debt Reduction Operati,TF091968,LIBERIA DEBT PREPARATION,DRF,COMMERCIAL DEBT REDUCTION FACILITY,2010,$0.00,$1989.64,07/07/2011,LCLS
09/08/2011,LR,Liberia,TF071033,Debt Reduction Facility for IDA-only Countries to the Republic of Liberia for the Preparation of a Commercial Debt Reduction Operati,TF091968,LIBERIA DEBT PREPARATION,DRF,COMMERCIAL DEBT REDUCTION FACILITY,2011,$0.00,$-71559.59,07/07/2011,LCLS
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF092010,GEF MSP - LIBERIA: GRANT FOR CONSOLIDATION OF LIBERIA PROTECTED AREA NETWORK PROJECT (COPAN),GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2008,$750000.00,$0.00,05/27/2008,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF092010,GEF MSP - LIBERIA: GRANT FOR CONSOLIDATION OF LIBERIA PROTECTED AREA NETWORK PROJECT (COPAN),GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2009,$0.00,$100000.00,05/27/2008,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF092010,GEF MSP - LIBERIA: GRANT FOR CONSOLIDATION OF LIBERIA PROTECTED AREA NETWORK PROJECT (COPAN),GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2010,$0.00,$60999.61,05/27/2008,ACTN
09/08/2011,LR,Liberia,TF050551,Global Environment Facility (GEF) - IBRD as Implementing Agency Projects Trust Fund,TF092010,GEF MSP - LIBERIA: GRANT FOR CONSOLIDATION OF LIBERIA PROTECTED AREA NETWORK PROJECT (COPAN),GEFIA,GEF-IBRD AS IMPLEMENTING AGENCY,2011,$0.00,$153872.09,05/27/2008,ACTN
